ngh,title,platform,origin,japaneseTitle,publisher,megacount,releasedate,genre,source
242,"King Of Fighters '98, The",aes,Japan,ザ・キング・オブ・ファイターズ'98,Snk,683,23/09/1998,Fighting,museum
265,"King Of Fighters 2002, The",aes,Japan,ザ・キング・オブ・ファイターズ 2002,Snk Playmore,681,19/12/2002,Fighting,museum
68,Power Spikes II,Aes,Japan,パワースパイクスII,Video System,82,- Conv -,Sports,
83,Puzzle Bobble,aes,Japan,パズルボブル,Taito,32,- Conv -,Puzzle,
45,Samurai Shodown,aes,USA,サムライスピリッツ,Snk,118,11/08/1993,Fighting,museum
261,Sengoku 3,aes,USA,戦国伝承 2001,Noise Factory,364,25/10/2001,Action,museum
269,Snk VS Capcom: Svc Chaos,aes,USA,SNK vs CAPCOM SVC CHAOS,Snk Playmore,708,13/11/2003,Fighting,museum
30,2020 Super Baseball,aes,USA,2020年スーパーベースボール,Snk,46,25/10/1991,Sports,museum
43,3 Count Bout,aes,,ファイヤー・スープレックス,Snk,106,23/04/1993,Fighting,museum
75,Aero Fighters 2,aes,,ソニックウイングス 2,Video System,102,26/08/1994,Topview Shooter,museum
97,Aero Fighters 3,aes,,ソニックウイングス 3,Video System,154,17/11/1995,Topview Action,museum
74,Aggressors Of Dark Kombat,aes,,痛快GANGAN行進曲,Adk,178,26/08/1994,Fighting,museum
7,Alpha Mission II,aes,,ASOII ラストガーディアン,Snk,47,01/07/1991,Shooter,museum
49,Andro Dunos,aes,,アンドロデュノス,Visco,32,17/07/1992,Shooter,museum
44,Art Of Fighting,aes,,龍虎の拳,Snk,102,11/12/1992,Fighting,museum
56,Art Of Fighting 2,aes,,龍虎の拳 2,Snk,178,11/03/1994,Fighting,museum
96,Art Of Fighting 3,aes,,ART OF FIGHTING 龍虎の拳外伝,Snk,298,26/04/1996,Fighting,museum
36,Bakatono-sama Mahjong Man'yuki,aes,,バカ殿様麻雀漫遊記,Monolith,48,13/12/1991,Mahjong,museum
41,Baseball Stars 2,aes,,ベースボールスターズ 2,Snk,68,28/04/1992,Sports,museum
2,Baseball Stars Professional,aes,,ベースボールスターズ プロフェッショナル,Snk,50,01/07/1991,Sports,museum
239,Blazing Star,aes,,ブレイジングスター,Yumekobo,346,26/02/1998,Shooter,museum
22,Blue's Journey,aes,,ラギ,Adk,50,01/07/1991,Action,museum
230,Breakers,aes,,ブレイカーズ,Visco,210,21/03/1997,Fighting,museum
18,Burning Fight,aes,,バーニングファイト,Snk,54,09/08/1991,Action,museum
206,Chibi Maruko-chan Deluxe Quiz,aes,,ちびまる子ちゃん まる子デラックスクイズ,Takara,118,26/01/1996,Variety,museum
37,Crossed Swords,aes,,クロスソード,Adk,50,01/10/1991,Action,museum
10,Cyber Lip,aes,,サイバーリップ,Snk,50,01/07/1991,Action,museum
82,Double Dragon,aes,,ダブルドラゴン,Technos,178,31/03/1995,Fighting,museum
25,Eight Man,aes,,8マン,Snk,46,20/11/1991,Action,museum
92,Far East Of Eden: Kabuki Klash ,aes,,天外魔境 真伝,Hudson Soft,202,28/07/1995,Fighting,museum
33,Fatal Fury,aes,,餓狼伝説,Snk,55,20/12/1991,Fighting,museum
47,Fatal Fury 2,aes,,餓狼伝説 2,Snk,106,05/03/1993,Fighting,museum
69,Fatal Fury 3,aes,,餓狼伝説 3,Snk,266,21/04/1995,Fighting,museum
58,Fatal Fury Special,aes,,餓狼伝説スペシャル,Snk,150,22/12/1993,Fighting,museum
34,Football Frenzy,aes,,フットボールフレンジー,Snk,48,21/02/1992,Sports,museum
78,Galaxy Fight: Universal Warriors,aes,,ギャラクシーファイト,Sunsoft,169,25/02/1995,Fighting,museum
253,Garou: Mark Of The Wolves,aes,,餓狼 MARK OF THE WOLVES,Snk,688,25/02/2000,Fighting,museum
20,Ghost Pilots,aes,,ゴーストパイロット,Snk,55,01/07/1991,Shooter,museum
66,Karnov's Revenge,aes,,ファイターズヒストリーダイナマイト,Data East,122,28/04/1994,Fighting,museum
55,"King Of Fighters '94, The",aes,,ザ・キング・オブ・ファイターズ'94,Snk,196,01/10/1994,Fighting,museum
84,"King Of Fighters '95, The",aes,,ザ・キング・オブ・ファイターズ'95,Snk,250,01/09/1995,Fighting,museum
214,"King Of Fighters '96, The",aes,,ザ・キング・オブ・ファイターズ'96,Snk,362,27/09/1996,Fighting,museum
232,"King Of Fighters '97, The",aes,,ザ・キング・オブ・ファイターズ'97,Snk,460,25/09/1997,Fighting,museum
251,"King Of Fighters '99, The",aes,,ザ・キング・オブ・ファイターズ'99,Snk,673,23/09/1999,Fighting,museum
257,"King Of Fighters 2000, The",aes,,ザ・キング・オブ・ファイターズ 2000,Snk,688,21/12/2000,Fighting,museum
262,"King Of Fighters 2001, The",aes,,ザ・キング・オブ・ファイターズ 2001,Snk Playmore,681,14/03/2002,Fighting,museum
271,"King Of Fighters 2003, The",aes,,ザ・キング・オブ・ファイターズ 2003,Snk Playmore,716,18/03/2004,Fighting,museum
16,King Of The Monsters,aes,,キング・オブ・ザ・モンスターズ,Snk,55,01/07/1991,Fighting,museum
39,King Of The Monsters 2,aes,,キング・オブ・ザ・モンスターズ 2,Snk,74,19/06/1992,Fighting,museum
216,Kizuna Encounter Super Tag Battle,aes,,風雲スーパータッグバトル,Snk,242,08/11/1996,Fighting,museum
243,"Last Blade 2, The",aes,,幕末浪漫第二幕 月華の剣士,Snk,554,28/01/1999,Fighting,museum
234,"Last Blade, The",aes,,幕末浪漫 月華の剣士,Snk,474,29/01/1998,Fighting,museum
24,Last Resort,aes,,ラストリゾート,Snk,45,24/04/1992,Shooter,museum
19,League Bowling,aes,,リーグボウリング,Snk,26,01/07/1991,Sports,museum
29,Legend Of Success Joe,aes,,あしたのジョー伝説,Wave,50,30/08/1991,Action,museum
221,Magical Drop II,aes,,マジカルドロップ 2,Data East,82,19/04/1996,Puzzle,museum
233,Magical Drop III,aes,,マジカルドロップ III,Data East,174,25/04/1997,Puzzle,museum
5,Magician Lord,aes,,マジシャンロード,Adk,46,01/07/1991,Action,museum
4,Mahjong Kyōretsuden,aes,,麻雀狂列伝 ～西日本編～,Snk,42,01/07/1991,Mahjong,museum
201,Metal Slug,aes,,メタルスラッグ,Nazca,193,24/05/1996,Action,museum
241,Metal Slug 2,aes,,メタルスラッグ 2,Snk,362,02/04/1998,Action,museum
256,Metal Slug 3,aes,,メタルスラッグ 3,Snk,708,01/06/2000,Action Shooter,museum
263,Metal Slug 4,aes,,メタルスラッグ 4,Snk Playmore,553,13/06/2002,Action Shooter,museum
268,Metal Slug 5,aes,,メタルスラッグ 5,Snk Playmore,708,19/02/2004,Action Shooter,museum
250,Metal Slug X,aes,,メタルスラッグ X,Snk,506,27/05/1999,Action,museum
27,Minnasan No Okagesama Desu,aes,,みなさんのおかげさまです！,Monolith,54,21/07/1991,Table,museum
14,Mutation Nation,aes,,ミューテイション・ネイション,Snk,54,17/04/1992,Action,museum
1,Nam-1975,aes,,ナム-1975,Snk,46,01/07/1991,3d Action,museum
244,Neo Geo Cup '98,aes,,ネオジオカップ'98,Snk,162,30/07/1998,Sports,museum
200,Neo Turf Masters,aes,,ビッグトーナメントゴルフ,Nazca,133,01/03/1996,Sports,museum
9,Ninja Combat,aes,,ニンジャコンバット,Adk,46,01/07/1991,Action,museum
50,Ninja Commando,aes,,ニンジャコマンドー,Adk,54,29/05/1992,Shooter,museum
217,Ninja Master's ,aes,,ニンジャマスターズ ～覇王忍法帖～,Adk / Snk,330,28/06/1996,Fighting,museum
212,Over Top,aes,,オーバートップ,Adk,212,07/06/1996,Racing,museum
266,Power Instinct Matrimelee,aes,,新豪血寺一族 闘婚 ～Matrimelee～,Atlus/noise Factory,646,29/05/2003,Fighting,museum
89,Pulstar,aes,,パルスター,Aicom,305,29/09/1995,Sideview Shooter,museum
21,Puzzled,aes,,ジョイジョイキッド,Snk,22,01/07/1991,Puzzle,museum
23,Quiz Daisōsa Sen: The Last Count Down,aes,,クイズ大捜査線,Snk,34,30/08/1991,Quiz,museum
80,Quiz King Of Fighters,aes,,クイズ キング・オブ・ファイターズ,Saurus,122,10/03/1995,Quiz,museum
42,Quiz Meitantei Neo & Geo: Quiz Daisousasen Part 2,aes,,クイズ迷探偵ネオ&ジオ,Snk,50,24/04/1991,Quiz,museum
264,Rage Of The Dragons,aes,,レイジ・オブ・ザ・ドラゴンズ,Evoga,564,26/09/2002,Fighting,museum
218,Ragnagard,aes,,神凰拳,Saurus,338,26/07/1996,Fighting,museum
95,Real Bout Fatal Fury,aes,,リアルバウト餓狼伝説,Snk,346,26/01/1996,Fighting,museum
240,Real Bout Fatal Fury 2,aes,,リアルバウト餓狼伝説 2,Snk,539,29/04/1998,Fighting,museum
223,Real Bout Fatal Fury Special,aes,,リアルバウト餓狼伝説スペシャル,Snk,394,28/02/1997,Fighting,museum
6,Riding Hero,aes,,ライディングヒーロー,Snk,46,01/07/1991,3d Racing,museum
32,Robo Army,aes,,ロボアーミー,Snk,45,20/12/1991,Action,museum
63,Samurai Shodown II,aes,,真サムライスピリッツ,Snk,202,02/12/1994,Fighting,museum
87,Samurai Shodown III,aes,,サムライスピリッツ 斬紅郎無双剣,Snk,282,01/12/1995,Fighting,museum
222,Samurai Shodown IV,aes,,サムライスピリッツ 天草降臨,Snk,378,29/11/1996,Fighting,museum
270,Samurai Shodown V,aes,,サムライスピリッツ零,Snk Playmore/yuki Enterprise,708,11/12/2003,Fighting,museum
272,Samurai Shodown V Special,aes,,サムライスピリッツ零 SPECIAL,Snk Playmore/yuki Enterprise,708,15/07/2004,Fighting,museum
59,Savage Reign,aes,,風雲黙示録,Snk,190,10/03/1995,Fighting,museum
17,Sengoku,aes,,戦国伝承,Snk,55,01/07/1991,Action,museum
40,Sengoku 2,aes,,戦国伝承 2,Snk,74,09/04/1993,Action,museum
246,Shock Troopers 2nd Squad,aes,,ショックトルーパーズ セカンドスカッド,Saurus,514,24/06/1999,Action Shooter,museum
203,Shōgi No Tatsujin - Master Of Syougi,aes,,将棋の達人,Adk,58,13/10/1995,Japanese Chess,museum
31,Soccer Brawl,aes,,サッカーブロール,Snk,46,13/03/1992,Sports,museum
62,Spinmaster,aes,,ミラクルアドベンチャー,Data East,90,18/02/1994,Sideview Action,museum
88,Stakes Winner,aes,,ステークスウィナー,Saurus,98,27/10/1995,Real Jockey Action,museum
227,Stakes Winner 2,aes,,ステークスウィナー 2,Saurus,178,13/12/1996,Real Jockey Action,museum
79,Street Hoop,aes,,ダンク・ドリーム,Data East,94,09/12/1994,Sports,museum
52,Super Sidekicks,aes,,得点王,Snk,54,19/02/1993,Sports,museum
61,Super Sidekicks 2,aes,,得点王 2,Snk,106,27/05/1994,Sports,museum
81,Super Sidekicks 3 ,aes,,得点王 3,Snk,158,07/04/1995,Sports,museum
11,"Super Spy, The",aes,,ザ・スーパースパイ,Snk,55,01/07/1991,3d Action,museum
38,Thrash Rally,aes,,スラッシュラリー,Adk,46,20/12/1991,Racing,museum
38,Thrash Rally,aes,,スラッシュラリー,Adk,46,20/12/1991,Racing,museum
46,Top Hunter,aes,,トップハンター,Snk,110,24/06/1994,Action,museum
3,Top Player's Golf,aes,,トッププレイヤーズゴルフ,Snk,62,01/07/1991,Sports,museum
224,Twinkle Star Sprites,aes,,ティンクルスタースプライツ,Adk,146,31/01/1997,Shooter,museum
215,"Ultimate 11, The",aes,,得点王 炎のリベロ,Snk,226,20/12/1996,Sports,museum
51,Viewpoint,aes,,ビューポイント,Sammy,74,11/12/1992,Shooter,museum
94,Voltage Fighter Gowcaizer,aes,,超人学園ゴウカイザー,Technos,186,20/10/1995,Fighting,museum
225,Waku Waku 7,aes,,わくわく7,Sunsoft,259,27/12/1996,Fighting,museum
65,Windjammers,aes,,フライングパワーディスク,Data East,74,08/04/1994,Sports,museum
53,World Heroes,aes,,ワールドヒーローズ,Adk,82,11/09/1992,Fighting,museum
57,World Heroes 2,aes,,ワールドヒーローズ 2,Adk,146,04/06/1993,Fighting,museum
64,World Heroes 2 Jet,aes,,ワールドヒーローズ 2 JET,Adk,178,10/06/1994,Fighting,museum
90,World Heroes Perfect,aes,,ワールドヒーローズ パーフェクト,Adk,226,30/06/1995,Fighting,museum
