ngh,title,platform,origin,japaneseTitle,publisher,megacount,releasedate,genre,source
NGCD-030,2020 Super Baseball,cd,Japan,2020年スーパーベースボール,Snk,46,25/02/1995,Sports,neogeocdworld
NGCD-007,Alpha Mission 2 / Aso II : Last Guardian,cd,Japan,ASOII ラストガーディアン,Snk,47,,Shooter,neogeocdworld
44,Art of Fighting ~Ryuuko no Ken Gaiden~,cd,Japan,龍虎の拳,Snk,102,09/09/1994,Fighting,neogeocom
NGCD-041,Baseball Stars 2,cd,Japan,ベースボールスターズ 2,Snk,68,,Sports,neogeocdworld
NGCD-002,Baseball Stars Professional,cd,Japan,ベースボールスターズ プロフェッショナル,Snk,50,,Sports,neogeocdworld
NGCD-200,Big Tournament Golf,cd,Japan,ビッグトーナメントゴルフ,Snk,133,,Sports,neogeocdworld
NGCD-018,Burning Fight,cd,Japan,バーニングファイト,Snk,54,,Action,neogeocdworld
NGCD-094,Chojin Gakuen Gowcaizer,cd,Japan,超人学園ゴウカイザー,Technos,186,,Fighting,neogeocdworld
NGCD-010,Cyber Lip,cd,Japan,サイバーリップ,Snk,50,,Action,neogeocdworld
NGCD-082,Double Dragon,cd,Japan,ダブルドラゴン,Technos,178,,Fighting,neogeocdworld
DECD-004,Dunk Dream,cd,Japan,ダンク・ドリーム,Data East,94,,Sports,neogeocdworld
DECD-003,Fighters History Dynamite,cd,Japan,ファイターズヒストリーダイナマイト,Data East,122,,Fighting,neogeocdworld
NGCD-043,Fire Suplex,cd,Japan,ファイヤー・スープレックス,Snk,106,,Fighting,neogeocdworld
DECD-002,Flying Power Disk,cd,Japan,フライングパワーディスク,Data East,74,,Sports,neogeocdworld
NGCD-034,Football Frenzy,cd,Japan,フットボールフレンジー,Snk,48,,Sports,neogeocdworld
NGCD-059,Fu'un Mokujiroku,cd,Japan,風雲黙示録,Snk,190,,Fighting,neogeocdworld
NGCD-078,Galaxy Fight Universal Warriors,cd,Japan,ギャラクシーファイト,Sunsoft,169,,Fighting,neogeocdworld
NGCD-033,Garou Densetsu 1,cd,Japan,餓狼伝説,Snk,55,,Fighting,neogeocdworld
NGCD-047,Garou Densetsu 2,cd,Japan,餓狼伝説 2,Snk,106,,Fighting,neogeocdworld
NGCD-069,Garou Densetsu 3 Road To The Final Victory,cd,Japan,餓狼伝説 3,Snk,266,,Fighting,neogeocdworld
NGCD-058,Garou Densetsu Special,cd,Japan,餓狼伝説スペシャル,Snk,150,,Fighting,neogeocdworld
NGCD-020,Ghost Pilots,cd,Japan,ゴーストパイロット,Snk,55,,Shooter,neogeocdworld
NGCD-055,"King Of Fighters '94, The",cd,Japan,ザ・キング・オブ・ファイターズ'94,Snk,196,,Fighting,neogeocdworld
NGCD-084,"King Of Fighters '95, The",cd,Japan,ザ・キング・オブ・ファイターズ'95,Snk,250,,Fighting,neogeocdworld
NGCD-214,"King Of Fighters '96, The",cd,Japan,ザ・キング・オブ・ファイターズ'96,Snk,362,,Fighting,neogeocdworld
NGCD-232,"King Of Fighters '97, The",cd,Japan,ザ・キング・オブ・ファイターズ'97,Snk,460,,Fighting,neogeocdworld
NGCD-039,King Of The Monsters 2,cd,Japan,キング・オブ・ザ・モンスターズ 2,Snk,74,,Fighting,neogeocdworld
NGCD-024,Last Resort,cd,Japan,ラストリゾート,Snk,45,,Shooter,neogeocdworld
NGCD-019,League Bowling,cd,Japan,リーグボウリング,Snk,26,,Sports,neogeocdworld
ADCD-100,Magician Lord,cd,Japan,マジシャンロード,Adk,46,,Action,neogeocdworld
NGCD-201,Metal Slug,cd,Japan,メタルスラッグ,Snk,193,,Action,neogeocdworld
NGCD-014,Mutation Nation,cd,Japan,ミューテイション・ネイション,Snk,54,,Action,neogeocdworld
NGCD-001,Nam 1975,cd,Japan,ナム-1975,Snk,46,,3d Action,neogeocdworld
ADCD-101,Ninja Combat,cd,Japan,ニンジャコンバット,Adk,46,,Action,neogeocdworld
ADCD-004,Ninja Commando,cd,Japan,ニンジャコマンドー,Adk,54,,Shooter,neogeocdworld
NGCD-083,Puzzle Bobble,cd,Japan,パズルボブル,Snk,32,,Puzzle,neogeocdworld
ADCD-001,Raguy,cd,Japan,,Adk,50,,Action,neogeocdworld
ADCD-003,Rally Chase,cd,Japan,,Adk,46,,,neogeocdworld
NGCD-095,Real Bout Fatal Fury,cd,Japan,リアルバウト餓狼伝説,Snk,346,,Fighting,neogeocdworld
NGCD-006,Riding Hero,cd,Japan,ライディングヒーロー,Snk,62,,3d Racing,neogeocdworld
NGCD-032,Robo Army,cd,Japan,ロボアーミー,Snk,45,,Action,neogeocdworld
NGCD-096,Ryu Ko No Ken Gaiden 3: The Art Of Fighting,cd,Japan,,Snk,298,,Fighting,neogeocdworld
NGCD-044,Ryuuko No Ken,cd,Japan,龍虎の拳,Snk,102,,Fighting,neogeocdworld
NGCD-056,Ryuuko No Ken 2,cd,Japan,龍虎の拳 2,Snk,178,,Fighting,neogeocdworld
NGCD-45,Samurai Spirits,cd,Japan,サムライスピリッツ,Snk,118,,Fighting,neogeocdworld
NGCD-063,Samurai Spirits II Haohmaru Jigokuhen,cd,Japan,真サムライスピリッツ,Snk,202,,Fighting,neogeocdworld
NGCD-087,Samurai Spirits III Zankuro Musouken,cd,Japan,サムライスピリッツ 斬紅郎無双剣,Snk,282,,Fighting,neogeocdworld
NGCD-222,Samurai Spirits IV,cd,Japan,サムライスピリッツ 天草降臨,Snk,378,,Fighting,neogeocdworld
NGCD-040,Sengoku 2,cd,Japan,戦国伝承 2,Snk,74,,Action,neogeocdworld
NGCD-017,Sengoku Denshou,cd,Japan,戦国伝承,Snk,55,,Action,neogeocdworld
NGCD-031,Soccer Brawl,cd,Japan,サッカーブロール,Snk,46,,Sports,neogeocdworld
NGCD-075,Sonic Wings 2,cd,Japan,ソニックウイングス 2,Video System,102,,Topview Action,neogeocdworld
NGCD-088,Stakes Winner: Gi Kan Zen Seiha Heno Machi,cd,Japan,ステークスウィナー,Saurus,98,,Real Jockey Action,neogeocdworld
NGCD-011,"Super Spy, The",cd,Japan,ザ・スーパースパイ,Snk,55,,3d Action,neogeocdworld
NGCD-052,Tokuten Oh Series 1,cd,Japan,,Snk,54,,Sports,neogeocdworld
NGCD-061,Tokuten Oh Series 2,cd,Japan,得点王 2,Snk,106,,Sports,neogeocdworld
NGCD-081,Tokuten Oh Series 3,cd,Japan,得点王 3,Snk,158,,Sports,neogeocdworld
NGCD-046,Top Hunter,cd,Japan,トップハンター,Snk,110,,Action,neogeocdworld
NGCD-003,Top Player's Golf,cd,Japan,トッププレイヤーズゴルフ,Snk,62,,Sports,neogeocdworld
ADCD-008,Tsuukai GanGan Koushinkyoku,cd,Japan,痛快GANGAN行進曲,Snk,178,,Fighting,neogeocdworld
ADCD-005,World Heroes,cd,Japan,ワールドヒーローズ,Adk,82,,Fighting,neogeocdworld
ADCD-006,World Heroes 2,cd,Japan,ワールドヒーローズ 2,Adk,146,,Fighting,neogeocdworld
ADCD-009,World Heroes Perfect,cd,Japan,ワールドヒーローズ パーフェクト,Snk,226,,Fighting,neogeocdworld
