ngh,title,platform,origin,japaneseTitle,publisher,megacount,releasedate,genre,source
NGCD-030E,2020 Super Baseball,cd,USA,2020年スーパーベースボール,Snk,46,25/02/1995,Sports,neogeocdworld
NGCD-043E,3 Count Bout,cd,USA,ファイヤー・スープレックス,Snk,106,,Fighting,neogeocdworld
NGCD-075E,Aero Fighters 2,cd,USA,ソニックウイングス 2,Video System,102,,Topview Shooter,neogeocdworld
NGCD-09E,Aero Fighters 3,cd,USA,ソニックウイングス 3,Video System,154,,Topview Shooter,neogeocdworld
ADCD-008E,Aggressors Of Dark Kombat,cd,USA,痛快GANGAN行進曲,Snk,178,,Fighting,neogeocdworld
NGCD-007E,Alpha Mission 2,cd,USA,ASOII ラストガーディアン,Snk,47,,Shooter,neogeocdworld
NGCD-044E,Art Of Fighting 1,cd,USA,ART OF FIGHTING 龍虎の拳外伝,Snk,102,,Fighting,neogeocdworld
NGCD-056E,Art Of Fighting 2,cd,USA,龍虎の拳 2,Snk,178,,Fighting,neogeocdworld
NGCD-096E,Art Of Fighting 3 The Path Of The Warrior,cd,USA,ART OF FIGHTING 龍虎の拳外伝,Snk,298,,Fighting,neogeocdworld
NGCD-041E,Baseball Stars 2,cd,USA,ベースボールスターズ 2,Snk,68,,Sports,neogeocdworld
NGCD-002E,Baseball Stars Professional,cd,USA,ベースボールスターズ プロフェッショナル,Snk,50,,Sports,neogeocdworld
ADCD-001E,Blue's Journey,cd,USA,ラギ,Adk,50,,Action,neogeocdworld
NGCD-018E,Burning Fight,cd,USA,バーニングファイト,Snk,54,,Action,neogeocdworld
NGCD-010E,Cyber Lip,cd,USA,サイバーリップ,Snk,50,,Action,neogeocdworld
NGCD-082E,Double Dragon,cd,USA,ダブルドラゴン,Technos,178,,Fighting,neogeocdworld
NGCD-033E,Fatal Fury,cd,USA,餓狼伝説,Snk,55,,Fighting,neogeocdworld
NGCD-047E,Fatal Fury 2,cd,USA,餓狼伝説 2,Snk,106,,Fighting,neogeocdworld
NGCD-069E,Fatal Fury 3 Road To The Final Victory,cd,USA,餓狼伝説 3,Snk,266,,Fighting,neogeocdworld
NGCD-058E,Fatal Fury Special,cd,USA,餓狼伝説スペシャル,Snk,150,,Fighting,neogeocdworld
NGCD-034E,Football Frenzy,cd,USA,フットボールフレンジー,Snk,48,,Sports,neogeocdworld
NGCD-078E,Galaxy Fight Universal Warriors,cd,USA,ギャラクシーファイト,Sunsoft,169,,Fighting,neogeocdworld
NGCD-020E,Ghost Pilots,cd,USA,ゴーストパイロット,Snk,55,,Shooter,neogeocdworld
DECD-003E,Karnov's Revenge,cd,USA,ファイターズヒストリーダイナマイト,Data East,122,,Fighting,neogeocdworld
NGCD-055E,"King Of Fighters '94, The",cd,USA,ザ・キング・オブ・ファイターズ'94,Snk,196,,Fighting,neogeocdworld
NGCD-084E,"King Of Fighters '95, The",cd,USA,ザ・キング・オブ・ファイターズ'95,Snk,250,,Fighting,neogeocdworld
NGCD-214E,"King Of Fighters '96, The",cd,USA,ザ・キング・オブ・ファイターズ'96,Snk,362,,Fighting,neogeocdworld
NGCD-232E,"King Of Fighters '97, The",cd,USA,ザ・キング・オブ・ファイターズ'97,Snk,460,,Fighting,neogeocdworld
NGCD-039E,King Of The Monsters 2,cd,USA,キング・オブ・ザ・モンスターズ 2,Snk,74,,Fighting,neogeocdworld
NGCD-024E,Last Resort,cd,USA,ラストリゾート,Snk,45,,Shooter,neogeocdworld
NGCD-019E,League Bowling,cd,USA,リーグボウリング,Snk,26,,Sports,neogeocdworld
ADCD-100E,Magician Lord,cd,USA,マジシャンロード,Adk,46,,Action,neogeocdworld
NGCD-201E,Metal Slug,cd,USA,メタルスラッグ,Snk,193,,Action,neogeocdworld
NGCD-014E,Mutation Nation,cd,USA,ミューテイション・ネイション,Snk,54,,Action,neogeocdworld
NGCD-001E,Nam 1975,cd,USA,ナム-1975,Snk,46,,3d Action,neogeocdworld
NGCD-200E,Neo Turf Masters,cd,USA,ビッグトーナメントゴルフ,Nazca,133,,Sports,neogeocdworld
ADCD-101E,Ninja Combat,cd,USA,ニンジャコンバット,Adk,46,,Action,neogeocdworld
ADCD-004E,Ninja Commando,cd,USA,ニンジャコマンドー,Adk,54,,Shooter,neogeocdworld
NGCD-089E,Pulstar,cd,USA,パルスター,Snk,305,,Sideview Shooter,neogeocdworld
NGCD-083E,Puzzle Bobble,cd,USA,パズルボブル,Snk,32,,Puzzle,neogeocdworld
ADCD-003E,Rally Chase,cd,USA,,Adk,46,,,neogeocdworld
NGCD-095E,Real Bout Fatal Fury,cd,USA,リアルバウト餓狼伝説,Snk,346,,Fighting,neogeocdworld
NGCD-006E,Riding Hero,cd,USA,ライディングヒーロー,Snk,62,,3d Racing,neogeocdworld
NGCD-032E,Robo Army,cd,USA,ロボアーミー,Snk,45,,Action,neogeocdworld
NGCD-45E,Samurai Shodown,cd,USA,サムライスピリッツ,Snk,118,,Fighting,neogeocdworld
NGCD-063E,Samurai Shodown II,cd,USA,真サムライスピリッツ,Snk,202,,Fighting,neogeocdworld
NGCD-087E,Samurai Shodown III : Blades Of Blood,cd,USA,サムライスピリッツ 斬紅郎無双剣,Snk,282,,Fighting,neogeocdworld
NGCD-222E,Samurai Shodown IV : Amakusa's Revenge,cd,USA,サムライスピリッツ 天草降臨,Snk,378,,Fighting,neogeocdworld
NGCD-059E,Savage Reign,cd,USA,風雲黙示録,Snk,190,,Fighting,neogeocdworld
NGCD-017E,Sengoku,cd,USA,戦国伝承,Snk,55,,Fighting,neogeocdworld
NGCD-040E,Sengoku 2,cd,USA,戦国伝承 2,Snk,74,,Action,neogeocdworld
NGCD-031E,Soccer Brawl,cd,USA,サッカーブロール,Snk,46,,Sports,neogeocdworld
NGCD-088E,Stakes Winner,cd,USA,ステークスウィナー,Saurus,98,,Real Jockey Action,neogeocdworld
DECD-004E,Street Hoop,cd,USA,ダンク・ドリーム,Data East,94,,Sports,neogeocdworld
NGCD-052E,Super Sidekicks,cd,USA,得点王,Snk,54,,Sports,neogeocdworld
NGCD-061E,Super Sidekicks 2,cd,USA,得点王 2,Snk,106,,Sports,neogeocdworld
NGCD-081E,Super Sidekicks 3,cd,USA,得点王 3,Snk,158,,Sports,neogeocdworld
NGCD-011E,"Super Spy, The",cd,USA,ザ・スーパースパイ,Snk,55,,3d Action,neogeocdworld
NGCD-046E,Top Hunter,cd,USA,トップハンター,Snk,110,,Action,neogeocdworld
NGCD-003E,Top Player's Golf,cd,USA,トッププレイヤーズゴルフ,Snk,62,,Sports,neogeocdworld
AICD-051E,Viewpoint,cd,USA,ビューポイント,Sammy,74,,Shooter,neogeocdworld
NGCD-094E,Voltage Fighter Gowcaizer,cd,USA,超人学園ゴウカイザー,Technos,186,,Fighting,neogeocdworld
DECD-002E,Windjammers,cd,USA,フライングパワーディスク,Data East,74,,Sports,neogeocdworld
ADCD-005E,World Heroes,cd,USA,ワールドヒーローズ,Adk,82,,Fighting,neogeocdworld
ADCD-006E,World Heroes 2,cd,USA,ワールドヒーローズ 2,Adk,146,,Fighting,neogeocdworld
ADCD-007E,World Heroes 2 Jet,cd,USA,ワールドヒーローズ 2 JET,Adk,178,,Fighting,neogeocdworld
ADCD-009E,World Heroes Perfect,cd,USA,ワールドヒーローズ パーフェクト,Snk,226,,Fighting,neogeocdworld
