"ngh","title","platform","origin","japaneseTitle","publisher","megacount","releasedate","genre","source"
1,"Nam-1975","mvs","Japan","ナム-1975","Snk",46,26/04/90,"3d Action","museum"
2,"Baseball Stars Professional","mvs","Japan","ベースボールスターズ プロフェッショナル","Snk",50,26/04/90,"Sports","museum"
3,"Top Player's Golf","mvs","Japan","トッププレイヤーズゴルフ","Snk",62,23/05/90,"Sports","museum"
4,"Mahjong Kyōretsuden","mvs","Japan","麻雀狂列伝 ～西日本編～","Snk",42,26/04/90,"Mahjong","museum"
5,"Magician Lord","mvs","Japan","マジシャンロード","Adk",46,26/04/90,"Action","museum"
6,"Riding Hero","mvs","Japan","ライディングヒーロー","Snk",46,24/07/90,"3d Racing","museum"
7,"Alpha Mission II","mvs","Japan","ASOII ラストガーディアン","Snk",47,25/03/91,"Shooter","museum"
9,"Ninja Combat","mvs","Japan","ニンジャコンバット","Adk",46,24/07/90,"Action","museum"
10,"Cyber Lip","mvs","Japan","サイバーリップ","Snk",50,07/11/90,"Action","museum"
11,"Super Spy, The","mvs","Japan","ザ・スーパースパイ","Snk",55,08/10/90,"3d Action","museum"
14,"Mutation Nation","mvs","Japan","ミューテイション・ネイション","Snk",54,16/03/92,"Action","museum"
16,"King Of The Monsters","mvs","Japan","キング・オブ・ザ・モンスターズ","Snk",55,25/02/91,"Fighting","museum"
17,"Sengoku","mvs","Japan","戦国伝承","Snk",55,12/02/91,"Action","museum"
18,"Burning Fight","mvs","Japan","バーニングファイト","Snk",54,20/05/91,"Action","museum"
19,"League Bowling","mvs","Japan","リーグボウリング","Snk",26,10/12/90,"Sports","museum"
20,"Ghost Pilots","mvs","Japan","ゴーストパイロット","Snk",55,25/01/91,"Shooter","museum"
21,"Puzzled","mvs","Japan","ジョイジョイキッド","Snk",22,20/11/90,"Puzzle","museum"
22,"Blue's Journey","mvs","Japan","ラギ","Adk",50,14/03/91,"Action","museum"
24,"Last Resort","mvs","Japan","ラストリゾート","Snk",45,23/03/92,"Shooter","museum"
27,"Minnasan No Okagesama Desu","mvs","Japan","みなさんのおかげさまです！","Monolith",54,25/07/91,"Table","museum"
30,"Super Baseball 2020","mvs","Japan","2020年スーパーベースボール","Snk",46,20/09/91,"Sports","museum"
31,"Soccer Brawl","mvs","Japan","サッカーブロール","Snk",46,14/02/92,"Sports","museum"
32,"Robo Army","mvs","Japan","ロボアーミー","Snk",45,30/10/91,"Action","museum"
33,"Fatal Fury","mvs","Japan","餓狼伝説","Snk",55,25/11/91,"Fighting","museum"
34,"Football Frenzy","mvs","Japan","フットボールフレンジー","Snk",48,31/01/92,"Sports","museum"
37,"Crossed Swords","mvs","Japan","クロスソード","Adk",50,25/07/91,"Action","museum"
38,"Thrash Rally","mvs","Japan","スラッシュラリー","Adk",46,08/11/91,"Racing","museum"
